Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
BFO,871104,2425,ZOMAOPT,ETERNAL26MAY240CE,27-MAY-2026,OPTSTK,CE,240,0.05,
BFO,1118615,2425,ZOMAOPT,ETERNAL26MAY237.5CE,27-MAY-2026,OPTSTK,CE,237.5,0.05,
BFO,873110,2425,ZOMAOPT,ETERNAL26MAY235CE,27-MAY-2026,OPTSTK,CE,235,0.05,
BFO,1118499,2425,ZOMAOPT,ETERNAL26MAY232.5CE,27-MAY-2026,OPTSTK,CE,232.5,0.05,
BFO,872894,2425,ZOMAOPT,ETERNAL26MAY230CE,27-MAY-2026,OPTSTK,CE,230,0.05,
BFO,1119457,2425,ZOMAOPT,ETERNAL26MAY227.5CE,27-MAY-2026,OPTSTK,CE,227.5,0.05,
BFO,874879,2425,ZOMAOPT,ETERNAL26MAY225CE,27-MAY-2026,OPTSTK,CE,225,0.05,
BFO,1119335,2425,ZOMAOPT,ETERNAL26MAY222.5CE,27-MAY-2026,OPTSTK,CE,222.5,0.05,
BFO,874680,2425,ZOMAOPT,ETERNAL26MAY220CE,27-MAY-2026,OPTSTK,CE,220,0.05,
BFO,1120457,2425,ZOMAOPT,ETERNAL26MAY217.5CE,27-MAY-2026,OPTSTK,CE,217.5,0.05,
BFO,868993,2425,ZOMAOPT,ETERNAL26MAY215CE,27-MAY-2026,OPTSTK,CE,215,0.05,
BFO,1120333,2425,ZOMAOPT,ETERNAL26MAY212.5CE,27-MAY-2026,OPTSTK,CE,212.5,0.05,
BFO,868771,2425,ZOMAOPT,ETERNAL26MAY210CE,27-MAY-2026,OPTSTK,CE,210,0.05,
BFO,879384,2425,ZOMAOPT,ETERNAL26MAY205CE,27-MAY-2026,OPTSTK,CE,205,0.05,
BFO,881332,2425,ZOMAOPT,ETERNAL26MAY200CE,27-MAY-2026,OPTSTK,CE,200,0.05,
BFO,881427,2425,ZOMAOPT,ETERNAL26MAY195CE,27-MAY-2026,OPTSTK,CE,195,0.05,
BFO,883379,2425,ZOMAOPT,ETERNAL26MAY190CE,27-MAY-2026,OPTSTK,CE,190,0.05,
BFO,884713,2425,ZOMAOPT,ETERNAL26MAY185CE,27-MAY-2026,OPTSTK,CE,185,0.05,
BFO,886217,2425,ZOMAOPT,ETERNAL26MAY180CE,27-MAY-2026,OPTSTK,CE,180,0.05,
BFO,1131898,2425,ZOMAOPT,ETERNAL26JUN280PE,25-JUN-2026,OPTSTK,PE,280,0.05,
BFO,1131146,2425,ZOMAOPT,ETERNAL26JUN277.5PE,25-JUN-2026,OPTSTK,PE,277.5,0.05,
BFO,1103546,2425,ZOMAOPT,ETERNAL26JUN275PE,25-JUN-2026,OPTSTK,PE,275,0.05,
BFO,1130452,2425,ZOMAOPT,ETERNAL26JUN272.5PE,25-JUN-2026,OPTSTK,PE,272.5,0.05,
BFO,1103125,2425,ZOMAOPT,ETERNAL26JUN270PE,25-JUN-2026,OPTSTK,PE,270,0.05,
BFO,1127901,2425,ZOMAOPT,ETERNAL26JUN267.5PE,25-JUN-2026,OPTSTK,PE,267.5,0.05,
BFO,1106617,2425,ZOMAOPT,ETERNAL26JUN265PE,25-JUN-2026,OPTSTK,PE,265,0.05,
BFO,1126849,2425,ZOMAOPT,ETERNAL26JUN262.5PE,25-JUN-2026,OPTSTK,PE,262.5,0.05,
BFO,1106276,2425,ZOMAOPT,ETERNAL26JUN260PE,25-JUN-2026,OPTSTK,PE,260,0.05,
BFO,1125107,2425,ZOMAOPT,ETERNAL26JUN257.5PE,25-JUN-2026,OPTSTK,PE,257.5,0.05,
BFO,1102222,2425,ZOMAOPT,ETERNAL26JUN255PE,25-JUN-2026,OPTSTK,PE,255,0.05,
BFO,1122110,2425,ZOMAOPT,ETERNAL26JUN252.5PE,25-JUN-2026,OPTSTK,PE,252.5,0.05,
BFO,1113182,2425,ZOMAOPT,ETERNAL26JUN250PE,25-JUN-2026,OPTSTK,PE,250,0.05,
BFO,1121271,2425,ZOMAOPT,ETERNAL26JUN247.5PE,25-JUN-2026,OPTSTK,PE,247.5,0.05,
BFO,1105328,2425,ZOMAOPT,ETERNAL26JUN245PE,25-JUN-2026,OPTSTK,PE,245,0.05,
BFO,1121168,2425,ZOMAOPT,ETERNAL26JUN242.5PE,25-JUN-2026,OPTSTK,PE,242.5,0.05,
BFO,1104813,2425,ZOMAOPT,ETERNAL26JUN240PE,25-JUN-2026,OPTSTK,PE,240,0.05,
BFO,1118178,2425,ZOMAOPT,ETERNAL26JUN237.5PE,25-JUN-2026,OPTSTK,PE,237.5,0.05,
BFO,1108270,2425,ZOMAOPT,ETERNAL26JUN235PE,25-JUN-2026,OPTSTK,PE,235,0.05,
BFO,1117969,2425,ZOMAOPT,ETERNAL26JUN232.5PE,25-JUN-2026,OPTSTK,PE,232.5,0.05,
BFO,1108070,2425,ZOMAOPT,ETERNAL26JUN230PE,25-JUN-2026,OPTSTK,PE,230,0.05,
BFO,1119120,2425,ZOMAOPT,ETERNAL26JUN227.5PE,25-JUN-2026,OPTSTK,PE,227.5,0.05,
BFO,1109871,2425,ZOMAOPT,ETERNAL26JUN225PE,25-JUN-2026,OPTSTK,PE,225,0.05,
BFO,1119016,2425,ZOMAOPT,ETERNAL26JUN222.5PE,25-JUN-2026,OPTSTK,PE,222.5,0.05,
BFO,1109672,2425,ZOMAOPT,ETERNAL26JUN220PE,25-JUN-2026,OPTSTK,PE,220,0.05,
BFO,1120119,2425,ZOMAOPT,ETERNAL26JUN217.5PE,25-JUN-2026,OPTSTK,PE,217.5,0.05,
BFO,1112735,2425,ZOMAOPT,ETERNAL26JUN215PE,25-JUN-2026,OPTSTK,PE,215,0.05,
BFO,1120016,2425,ZOMAOPT,ETERNAL26JUN212.5PE,25-JUN-2026,OPTSTK,PE,212.5,0.05,
BFO,1112303,2425,ZOMAOPT,ETERNAL26JUN210PE,25-JUN-2026,OPTSTK,PE,210,0.05,
BFO,1104369,2425,ZOMAOPT,ETERNAL26JUN205PE,25-JUN-2026,OPTSTK,PE,205,0.05,
BFO,1114900,2425,ZOMAOPT,ETERNAL26JUN200PE,25-JUN-2026,OPTSTK,PE,200,0.05,
BFO,1131452,2425,ZOMAOPT,ETERNAL26JUN280CE,25-JUN-2026,OPTSTK,CE,280,0.05,
BFO,1130756,2425,ZOMAOPT,ETERNAL26JUN277.5CE,25-JUN-2026,OPTSTK,CE,277.5,0.05,
BFO,1108511,2425,ZOMAOPT,ETERNAL26JUN275CE,25-JUN-2026,OPTSTK,CE,275,0.05,
BFO,1130173,2425,ZOMAOPT,ETERNAL26JUN272.5CE,25-JUN-2026,OPTSTK,CE,272.5,0.05,
BFO,1108365,2425,ZOMAOPT,ETERNAL26JUN270CE,25-JUN-2026,OPTSTK,CE,270,0.05,
BFO,1128296,2425,ZOMAOPT,ETERNAL26JUN267.5CE,25-JUN-2026,OPTSTK,CE,267.5,0.05,
BFO,1110112,2425,ZOMAOPT,ETERNAL26JUN265CE,25-JUN-2026,OPTSTK,CE,265,0.05,
BFO,1127316,2425,ZOMAOPT,ETERNAL26JUN262.5CE,25-JUN-2026,OPTSTK,CE,262.5,0.05,
BFO,1109939,2425,ZOMAOPT,ETERNAL26JUN260CE,25-JUN-2026,OPTSTK,CE,260,0.05,
BFO,1125051,2425,ZOMAOPT,ETERNAL26JUN257.5CE,25-JUN-2026,OPTSTK,CE,257.5,0.05,
BFO,1113191,2425,ZOMAOPT,ETERNAL26JUN255CE,25-JUN-2026,OPTSTK,CE,255,0.05,
BFO,1122088,2425,ZOMAOPT,ETERNAL26JUN252.5CE,25-JUN-2026,OPTSTK,CE,252.5,0.05,
BFO,1112908,2425,ZOMAOPT,ETERNAL26JUN250CE,25-JUN-2026,OPTSTK,CE,250,0.05,
BFO,1121170,2425,ZOMAOPT,ETERNAL26JUN247.5CE,25-JUN-2026,OPTSTK,CE,247.5,0.05,
BFO,1104821,2425,ZOMAOPT,ETERNAL26JUN245CE,25-JUN-2026,OPTSTK,CE,245,0.05,
BFO,1121087,2425,ZOMAOPT,ETERNAL26JUN242.5CE,25-JUN-2026,OPTSTK,CE,242.5,0.05,
BFO,1104495,2425,ZOMAOPT,ETERNAL26JUN240CE,25-JUN-2026,OPTSTK,CE,240,0.05,
BFO,1117984,2425,ZOMAOPT,ETERNAL26JUN237.5CE,25-JUN-2026,OPTSTK,CE,237.5,0.05,
BFO,1108085,2425,ZOMAOPT,ETERNAL26JUN235CE,25-JUN-2026,OPTSTK,CE,235,0.05,
BFO,1117805,2425,ZOMAOPT,ETERNAL26JUN232.5CE,25-JUN-2026,OPTSTK,CE,232.5,0.05,
BFO,1107784,2425,ZOMAOPT,ETERNAL26JUN230CE,25-JUN-2026,OPTSTK,CE,230,0.05,
BFO,1119024,2425,ZOMAOPT,ETERNAL26JUN227.5CE,25-JUN-2026,OPTSTK,CE,227.5,0.05,
BFO,1109685,2425,ZOMAOPT,ETERNAL26JUN225CE,25-JUN-2026,OPTSTK,CE,225,0.05,
BFO,1118943,2425,ZOMAOPT,ETERNAL26JUN222.5CE,25-JUN-2026,OPTSTK,CE,222.5,0.05,
BFO,1109506,2425,ZOMAOPT,ETERNAL26JUN220CE,25-JUN-2026,OPTSTK,CE,220,0.05,
BFO,1120020,2425,ZOMAOPT,ETERNAL26JUN217.5CE,25-JUN-2026,OPTSTK,CE,217.5,0.05,
BFO,1112321,2425,ZOMAOPT,ETERNAL26JUN215CE,25-JUN-2026,OPTSTK,CE,215,0.05,
BFO,1119898,2425,ZOMAOPT,ETERNAL26JUN212.5CE,25-JUN-2026,OPTSTK,CE,212.5,0.05,
BFO,1111976,2425,ZOMAOPT,ETERNAL26JUN210CE,25-JUN-2026,OPTSTK,CE,210,0.05,
BFO,1104072,2425,ZOMAOPT,ETERNAL26JUN205CE,25-JUN-2026,OPTSTK,CE,205,0.05,
BFO,1114800,2425,ZOMAOPT,ETERNAL26JUN200CE,25-JUN-2026,OPTSTK,CE,200,0.05,
BFO,1158940,2425,ZOMAOPT,ETERNAL26JUL275PE,30-JUL-2026,OPTSTK,PE,275,0.05,
BFO,1154431,2425,ZOMAOPT,ETERNAL26JUL272.5PE,30-JUL-2026,OPTSTK,PE,272.5,0.05,
BFO,1152509,2425,ZOMAOPT,ETERNAL26JUL270PE,30-JUL-2026,OPTSTK,PE,270,0.05,
BFO,1152456,2425,ZOMAOPT,ETERNAL26JUL267.5PE,30-JUL-2026,OPTSTK,PE,267.5,0.05,
BFO,1144185,2425,ZOMAOPT,ETERNAL26JUL265PE,30-JUL-2026,OPTSTK,PE,265,0.05,
BFO,1139475,2425,ZOMAOPT,ETERNAL26JUL262.5PE,30-JUL-2026,OPTSTK,PE,262.5,0.05,
BFO,1143665,2425,ZOMAOPT,ETERNAL26JUL260PE,30-JUL-2026,OPTSTK,PE,260,0.05,
BFO,1142589,2425,ZOMAOPT,ETERNAL26JUL257.5PE,30-JUL-2026,OPTSTK,PE,257.5,0.05,
BFO,1148073,2425,ZOMAOPT,ETERNAL26JUL255PE,30-JUL-2026,OPTSTK,PE,255,0.05,
BFO,1142226,2425,ZOMAOPT,ETERNAL26JUL252.5PE,30-JUL-2026,OPTSTK,PE,252.5,0.05,
BFO,1147489,2425,ZOMAOPT,ETERNAL26JUL250PE,30-JUL-2026,OPTSTK,PE,250,0.05,
BFO,1146565,2425,ZOMAOPT,ETERNAL26JUL247.5PE,30-JUL-2026,OPTSTK,PE,247.5,0.05,
BFO,1136558,2425,ZOMAOPT,ETERNAL26JUL245PE,30-JUL-2026,OPTSTK,PE,245,0.05,
BFO,1146112,2425,ZOMAOPT,ETERNAL26JUL242.5PE,30-JUL-2026,OPTSTK,PE,242.5,0.05,
BFO,1136220,2425,ZOMAOPT,ETERNAL26JUL240PE,30-JUL-2026,OPTSTK,PE,240,0.05,
BFO,1150392,2425,ZOMAOPT,ETERNAL26JUL237.5PE,30-JUL-2026,OPTSTK,PE,237.5,0.05,
BFO,1139908,2425,ZOMAOPT,ETERNAL26JUL235PE,30-JUL-2026,OPTSTK,PE,235,0.05,
BFO,1150013,2425,ZOMAOPT,ETERNAL26JUL232.5PE,30-JUL-2026,OPTSTK,PE,232.5,0.05,
BFO,1139538,2425,ZOMAOPT,ETERNAL26JUL230PE,30-JUL-2026,OPTSTK,PE,230,0.05,
BFO,1172278,2425,ZOMAOPT,ETERNAL26JUL227.5PE,30-JUL-2026,OPTSTK,PE,227.5,0.05,
BFO,1174843,2425,ZOMAOPT,ETERNAL26JUL225PE,30-JUL-2026,OPTSTK,PE,225,0.05,
BFO,1174585,2425,ZOMAOPT,ETERNAL26JUL222.5PE,30-JUL-2026,OPTSTK,PE,222.5,0.05,
BFO,820164,2425,ZOMAOPT,ETERNAL26JUL220PE,30-JUL-2026,OPTSTK,PE,220,0.05,
BFO,1159819,2425,ZOMAOPT,ETERNAL26JUL275CE,30-JUL-2026,OPTSTK,CE,275,0.05,
BFO,1156074,2425,ZOMAOPT,ETERNAL26JUL272.5CE,30-JUL-2026,OPTSTK,CE,272.5,0.05,
BFO,1153238,2425,ZOMAOPT,ETERNAL26JUL270CE,30-JUL-2026,OPTSTK,CE,270,0.05,
BFO,1153150,2425,ZOMAOPT,ETERNAL26JUL267.5CE,30-JUL-2026,OPTSTK,CE,267.5,0.05,
BFO,1150768,2425,ZOMAOPT,ETERNAL26JUL265CE,30-JUL-2026,OPTSTK,CE,265,0.05,
BFO,1145395,2425,ZOMAOPT,ETERNAL26JUL262.5CE,30-JUL-2026,OPTSTK,CE,262.5,0.05,
BFO,1150329,2425,ZOMAOPT,ETERNAL26JUL260CE,30-JUL-2026,OPTSTK,CE,260,0.05,
BFO,1149696,2425,ZOMAOPT,ETERNAL26JUL257.5CE,30-JUL-2026,OPTSTK,CE,257.5,0.05,
BFO,1139216,2425,ZOMAOPT,ETERNAL26JUL255CE,30-JUL-2026,OPTSTK,CE,255,0.05,
BFO,1149281,2425,ZOMAOPT,ETERNAL26JUL252.5CE,30-JUL-2026,OPTSTK,CE,252.5,0.05,
BFO,1138686,2425,ZOMAOPT,ETERNAL26JUL250CE,30-JUL-2026,OPTSTK,CE,250,0.05,
BFO,1137907,2425,ZOMAOPT,ETERNAL26JUL247.5CE,30-JUL-2026,OPTSTK,CE,247.5,0.05,
BFO,1142007,2425,ZOMAOPT,ETERNAL26JUL245CE,30-JUL-2026,OPTSTK,CE,245,0.05,
BFO,1137456,2425,ZOMAOPT,ETERNAL26JUL242.5CE,30-JUL-2026,OPTSTK,CE,242.5,0.05,
BFO,1141621,2425,ZOMAOPT,ETERNAL26JUL240CE,30-JUL-2026,OPTSTK,CE,240,0.05,
BFO,1141134,2425,ZOMAOPT,ETERNAL26JUL237.5CE,30-JUL-2026,OPTSTK,CE,237.5,0.05,
BFO,1145867,2425,ZOMAOPT,ETERNAL26JUL235CE,30-JUL-2026,OPTSTK,CE,235,0.05,
BFO,1140848,2425,ZOMAOPT,ETERNAL26JUL232.5CE,30-JUL-2026,OPTSTK,CE,232.5,0.05,
BFO,1145462,2425,ZOMAOPT,ETERNAL26JUL230CE,30-JUL-2026,OPTSTK,CE,230,0.05,
BFO,1173967,2425,ZOMAOPT,ETERNAL26JUL227.5CE,30-JUL-2026,OPTSTK,CE,227.5,0.05,
BFO,1175196,2425,ZOMAOPT,ETERNAL26JUL225CE,30-JUL-2026,OPTSTK,CE,225,0.05,
BFO,1174925,2425,ZOMAOPT,ETERNAL26JUL222.5CE,30-JUL-2026,OPTSTK,CE,222.5,0.05,
BFO,820282,2425,ZOMAOPT,ETERNAL26JUL220CE,30-JUL-2026,OPTSTK,CE,220,0.05,
BFO,1142033,2425,ZOMAFUT,ETERNAL26JULFUT,30-JUL-2026,FUTSTK,XX,0,0.05,
BFO,869190,2425,ZOMAFUT,ETERNAL26MAYFUT,27-MAY-2026,FUTSTK,XX,0,0.05,
BFO,1103957,2425,ZOMAFUT,ETERNAL26JUNFUT,25-JUN-2026,FUTSTK,XX,0,0.05,
BFO,1158820,31100,YESBOPT,YESBANK26MAY30PE,27-MAY-2026,OPTSTK,PE,30,0.05,
BFO,1157739,31100,YESBOPT,YESBANK26MAY29PE,27-MAY-2026,OPTSTK,PE,29,0.05,
BFO,871211,31100,YESBOPT,YESBANK26MAY28PE,27-MAY-2026,OPTSTK,PE,28,0.05,
BFO,874255,31100,YESBOPT,YESBANK26MAY27PE,27-MAY-2026,OPTSTK,PE,27,0.05,
BFO,869576,31100,YESBOPT,YESBANK26MAY26PE,27-MAY-2026,OPTSTK,PE,26,0.05,
BFO,872630,31100,YESBOPT,YESBANK26MAY25PE,27-MAY-2026,OPTSTK,PE,25,0.05,
BFO,875607,31100,YESBOPT,YESBANK26MAY24PE,27-MAY-2026,OPTSTK,PE,24,0.05,
BFO,870995,31100,YESBOPT,YESBANK26MAY23PE,27-MAY-2026,OPTSTK,PE,23,0.05,
BFO,874073,31100,YESBOPT,YESBANK26MAY22PE,27-MAY-2026,OPTSTK,PE,22,0.05,
BFO,869385,31100,YESBOPT,YESBANK26MAY21PE,27-MAY-2026,OPTSTK,PE,21,0.05,
BFO,872424,31100,YESBOPT,YESBANK26MAY20PE,27-MAY-2026,OPTSTK,PE,20,0.05,
BFO,869956,31100,YESBOPT,YESBANK26MAY19PE,27-MAY-2026,OPTSTK,PE,19,0.05,
BFO,873001,31100,YESBOPT,YESBANK26MAY18PE,27-MAY-2026,OPTSTK,PE,18,0.05,
BFO,875968,31100,YESBOPT,YESBANK26MAY17PE,27-MAY-2026,OPTSTK,PE,17,0.05,
